,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
33,33,0.06312490254640579,2023-01-05 18:48:29.977835,2023-01-05 18:48:42.774972,0 days 00:00:12.797137,tanh,0.35000000000000003,4,0.65,0.07626074552536011,0.06312490254640579,,PRUNED
34,34,0.370141863822937,2023-01-05 18:48:42.885087,2023-01-05 18:49:03.635747,0 days 00:00:20.750660,relu,0.0,8,0.75,,,,COMPLETE
35,35,0.15167692303657532,2023-01-05 18:49:03.759894,2023-01-05 18:49:42.164245,0 days 00:00:38.404351,sigmoid,0.15000000000000002,2,0.5,0.07763754576444626,0.04249372333288193,,COMPLETE
36,36,0.14885985851287842,2023-01-05 18:49:42.273677,2023-01-05 18:49:49.894209,0 days 00:00:07.620532,tanh,0.1,4,0.9,0.14885985851287842,,,PRUNED
37,37,0.2746714651584625,2023-01-05 18:49:50.003322,2023-01-05 18:50:10.480282,0 days 00:00:20.476960,relu,0.0,6,0.5,,,,COMPLETE
38,38,0.1422276496887207,2023-01-05 18:50:10.597558,2023-01-05 18:50:46.477564,0 days 00:00:35.880006,sigmoid,0.15000000000000002,2,0.5,0.061311449855566025,0.03775697201490402,,COMPLETE
39,39,0.11021656543016434,2023-01-05 18:50:46.604305,2023-01-05 18:50:54.189427,0 days 00:00:07.585122,relu,0.25,7,0.75,0.11021656543016434,,,PRUNED
40,40,0.10673458874225616,2023-01-05 18:50:54.289599,2023-01-05 18:51:06.746267,0 days 00:00:12.456668,sigmoid,0.5,3,0.8,0.07389144599437714,0.10673458874225616,,PRUNED
41,41,0.11353749781847,2023-01-05 18:51:06.856318,2023-01-05 18:51:14.212880,0 days 00:00:07.356562,relu,0.05,5,0.95,0.11353749781847,,,PRUNED
42,42,0.13317881524562836,2023-01-05 18:51:14.315006,2023-01-05 18:51:21.379019,0 days 00:00:07.064013,relu,0.5,2,0.5,0.13317881524562836,,,PRUNED
43,43,0.06435427814722061,2023-01-05 18:51:21.488004,2023-01-05 18:51:34.119719,0 days 00:00:12.631715,relu,0.45,2,0.55,0.08655773103237152,0.06435427814722061,,PRUNED
44,44,0.1385076493024826,2023-01-05 18:51:34.229217,2023-01-05 18:51:41.194084,0 days 00:00:06.964867,relu,0.4,2,0.55,0.1385076493024826,,,PRUNED
45,45,0.03894016519188881,2023-01-05 18:51:41.294987,2023-01-05 18:52:09.316808,0 days 00:00:28.021821,sigmoid,0.0,2,0.5,0.0742916390299797,0.03894016519188881,,PRUNED
46,46,0.10074756294488907,2023-01-05 18:52:09.408971,2023-01-05 18:52:16.791526,0 days 00:00:07.382555,relu,0.30000000000000004,3,0.6,0.10074756294488907,,,PRUNED
