,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
32,32,0.14976003766059875,2023-01-04 14:51:32.580854,2023-01-04 14:52:21.851237,0 days 00:00:49.270383,tanh,0.1,2,0.8500000000000001,0.1176641657948494,0.06879884004592896,0.04431990906596184,COMPLETE
33,33,0.1033746600151062,2023-01-04 14:52:21.948957,2023-01-04 14:52:37.590192,0 days 00:00:15.641235,tanh,0.1,6,0.7,0.14563755691051483,0.1033746600151062,,PRUNED
34,34,0.17558777332305908,2023-01-04 14:52:37.709780,2023-01-04 14:52:46.422859,0 days 00:00:08.713079,tanh,0.1,4,0.5,0.17558777332305908,,,PRUNED
35,35,0.14658530056476593,2023-01-04 14:52:46.523715,2023-01-04 14:52:55.263854,0 days 00:00:08.740139,tanh,0.1,2,0.8500000000000001,0.14658530056476593,,,PRUNED
36,36,0.04674812778830528,2023-01-04 14:52:55.365778,2023-01-04 14:53:31.519455,0 days 00:00:36.153677,relu,0.45,2,0.65,0.06632333993911743,0.04674812778830528,,PRUNED
37,37,0.048514753580093384,2023-01-04 14:53:31.605132,2023-01-04 14:54:07.941705,0 days 00:00:36.336573,tanh,0.4,2,0.95,0.1416284441947937,0.0695853903889656,0.048514753580093384,PRUNED
38,38,0.07616712898015976,2023-01-04 14:54:08.078301,2023-01-04 14:54:23.732186,0 days 00:00:15.653885,relu,0.5,3,0.8500000000000001,0.11033676564693451,0.07616712898015976,,PRUNED
39,39,0.1718534529209137,2023-01-04 14:54:23.808868,2023-01-04 14:54:32.672601,0 days 00:00:08.863733,sigmoid,0.25,2,0.75,0.1718534529209137,,,PRUNED
40,40,0.08165010064840317,2023-01-04 14:54:32.793527,2023-01-04 14:54:48.255711,0 days 00:00:15.462184,tanh,0.15000000000000002,3,0.95,0.13021107017993927,0.08165010064840317,,PRUNED
41,41,0.07188338786363602,2023-01-04 14:54:48.333036,2023-01-04 14:55:03.629321,0 days 00:00:15.296285,relu,0.4,2,0.8500000000000001,0.1349056363105774,0.07188338786363602,,PRUNED
42,42,0.24353131651878357,2023-01-04 14:55:03.706226,2023-01-04 14:55:12.578799,0 days 00:00:08.872573,tanh,0.30000000000000004,3,0.9,0.24353131651878357,,,PRUNED
43,43,0.14199784398078918,2023-01-04 14:55:12.689735,2023-01-04 14:55:21.144523,0 days 00:00:08.454788,relu,0.4,2,0.8,0.14199784398078918,,,PRUNED
44,44,0.17373551428318024,2023-01-04 14:55:21.239038,2023-01-04 14:55:36.809710,0 days 00:00:15.570672,tanh,0.30000000000000004,4,0.95,0.13593725860118866,0.17373551428318024,,PRUNED
45,45,0.0805554986000061,2023-01-04 14:55:36.912527,2023-01-04 14:55:52.483536,0 days 00:00:15.571009,tanh,0.30000000000000004,4,0.5,0.0805554986000061,,,PRUNED
46,46,0.358074814081192,2023-01-04 14:55:52.611716,2023-01-04 14:56:01.824719,0 days 00:00:09.213003,sigmoid,0.2,7,0.8,0.358074814081192,,,PRUNED
47,47,0.10327403992414474,2023-01-04 14:56:01.927761,2023-01-04 14:56:17.490840,0 days 00:00:15.563079,tanh,0.2,4,0.6,0.10327403992414474,,,PRUNED
48,48,0.052190713584423065,2023-01-04 14:56:17.601504,2023-01-04 14:56:53.196098,0 days 00:00:35.594594,relu,0.1,2,0.6,0.07673545181751251,0.052190713584423065,,PRUNED
49,49,0.08913807570934296,2023-01-04 14:56:53.316474,2023-01-04 14:57:09.003352,0 days 00:00:15.686878,sigmoid,0.4,3,0.75,0.08913807570934296,,,PRUNED
50,50,0.1994752436876297,2023-01-04 14:57:09.122499,2023-01-04 14:57:24.792735,0 days 00:00:15.670236,tanh,0.25,6,0.5,0.1994752436876297,,,PRUNED
51,51,0.32391127943992615,2023-01-04 14:57:24.895889,2023-01-04 14:57:33.842879,0 days 00:00:08.946990,relu,0.05,6,0.7,0.32391127943992615,,,PRUNED
52,52,0.18051588535308838,2023-01-04 14:57:33.938077,2023-01-04 14:57:42.450759,0 days 00:00:08.512682,tanh,0.45,3,0.9,0.18051588535308838,,,PRUNED
53,53,0.07640480250120163,2023-01-04 14:57:42.553814,2023-01-04 14:57:58.399320,0 days 00:00:15.845506,tanh,0.5,3,0.8500000000000001,0.11805165559053421,0.07640480250120163,,PRUNED
54,54,0.07444366067647934,2023-01-04 14:57:58.501276,2023-01-04 14:58:13.973428,0 days 00:00:15.472152,tanh,0.45,2,0.9,0.13311035931110382,0.07444366067647934,,PRUNED
55,55,0.05352875590324402,2023-01-04 14:58:14.075527,2023-01-04 14:58:49.937102,0 days 00:00:35.861575,sigmoid,0.45,3,0.9,0.06891381740570068,0.05352875590324402,,PRUNED
56,56,0.09420794993638992,2023-01-04 14:58:50.063765,2023-01-04 14:59:05.610929,0 days 00:00:15.547164,sigmoid,0.5,2,0.75,0.09420794993638992,,,PRUNED
57,57,0.07468260824680328,2023-01-04 14:59:05.729475,2023-01-04 14:59:21.126414,0 days 00:00:15.396939,tanh,0.4,2,0.75,0.12407052516937256,0.07468260824680328,,PRUNED
58,58,0.051059234887361526,2023-01-04 14:59:21.204423,2023-01-04 14:59:56.940633,0 days 00:00:35.736210,sigmoid,0.4,3,0.7,0.06495506316423416,0.051059234887361526,,PRUNED
59,59,0.09385707229375839,2023-01-04 14:59:57.054968,2023-01-04 15:00:12.688864,0 days 00:00:15.633896,sigmoid,0.45,4,0.8,0.09385707229375839,,,PRUNED
60,60,0.1428430825471878,2023-01-04 15:00:12.803917,2023-01-04 15:01:02.370538,0 days 00:00:49.566621,sigmoid,0.4,2,0.6,0.06609951704740524,0.04113880172371864,,COMPLETE
61,61,0.04814482107758522,2023-01-04 15:01:02.462075,2023-01-04 15:01:38.182753,0 days 00:00:35.720678,tanh,0.35000000000000003,2,1.0,0.1264929324388504,0.06458066403865814,0.04814482107758522,PRUNED
62,62,0.23022575676441193,2023-01-04 15:01:38.305699,2023-01-04 15:01:46.907238,0 days 00:00:08.601539,tanh,0.45,3,0.8,0.23022575676441193,,,PRUNED
63,63,0.17682068049907684,2023-01-04 15:01:47.013260,2023-01-04 15:01:55.864726,0 days 00:00:08.851466,relu,0.5,5,0.95,0.17682068049907684,,,PRUNED
64,64,0.08054731041193008,2023-01-04 15:01:55.962390,2023-01-04 15:02:11.546883,0 days 00:00:15.584493,relu,0.30000000000000004,2,0.6,0.08054731041193008,,,PRUNED
65,65,0.1402178406715393,2023-01-04 15:02:11.644473,2023-01-04 15:02:20.262660,0 days 00:00:08.618187,tanh,0.4,3,0.8500000000000001,0.1402178406715393,,,PRUNED
66,66,0.08908416330814362,2023-01-04 15:02:20.369187,2023-01-04 15:02:35.761712,0 days 00:00:15.392525,relu,0.05,2,0.65,0.12319759279489517,0.08908416330814362,,PRUNED
67,67,0.05099372938275337,2023-01-04 15:02:35.876347,2023-01-04 15:03:11.450697,0 days 00:00:35.574350,relu,0.30000000000000004,2,0.6,0.07181670516729355,0.05099372938275337,,PRUNED
68,68,0.3497704565525055,2023-01-04 15:03:11.565763,2023-01-04 15:03:20.608324,0 days 00:00:09.042561,sigmoid,0.25,5,0.9,0.3497704565525055,,,PRUNED
69,69,0.17649763822555542,2023-01-04 15:03:20.697425,2023-01-04 15:03:29.649706,0 days 00:00:08.952281,relu,0.0,6,0.75,0.17649763822555542,,,PRUNED
70,70,0.0817272737622261,2023-01-04 15:03:29.755987,2023-01-04 15:03:45.297337,0 days 00:00:15.541350,tanh,0.4,3,0.5,0.0817272737622261,,,PRUNED
71,71,0.16909806430339813,2023-01-04 15:03:45.413203,2023-01-04 15:03:54.580654,0 days 00:00:09.167451,relu,0.0,6,0.8500000000000001,0.16909806430339813,,,PRUNED
72,72,0.301774263381958,2023-01-04 15:03:54.678651,2023-01-04 15:04:03.763395,0 days 00:00:09.084744,relu,0.05,7,0.8,0.301774263381958,,,PRUNED
73,73,0.13295866549015045,2023-01-04 15:04:03.869697,2023-01-04 15:04:19.670145,0 days 00:00:15.800448,sigmoid,0.2,6,0.7,0.13295866549015045,,,PRUNED
74,74,0.20344805717468262,2023-01-04 15:04:19.776550,2023-01-04 15:04:28.911498,0 days 00:00:09.134948,relu,0.15000000000000002,5,0.9,0.20344805717468262,,,PRUNED
75,75,0.08155245333909988,2023-01-04 15:04:29.008918,2023-01-04 15:04:44.743392,0 days 00:00:15.734474,sigmoid,0.0,4,0.55,0.08155245333909988,,,PRUNED
76,76,0.39790430665016174,2023-01-04 15:04:44.849378,2023-01-04 15:04:54.001272,0 days 00:00:09.151894,relu,0.35000000000000003,8,0.8,0.39790430665016174,,,PRUNED
77,77,0.1566273421049118,2023-01-04 15:04:54.140907,2023-01-04 15:05:37.301916,0 days 00:00:43.161009,sigmoid,0.5,2,0.8,0.06698215752840042,0.046468399465084076,,COMPLETE
78,78,0.1683027744293213,2023-01-04 15:05:37.424589,2023-01-04 15:05:45.972256,0 days 00:00:08.547667,tanh,0.0,2,0.95,0.1683027744293213,,,PRUNED
79,79,0.37633198499679565,2023-01-04 15:05:46.070313,2023-01-04 15:05:55.154718,0 days 00:00:09.084405,sigmoid,0.45,7,0.8500000000000001,0.37633198499679565,,,PRUNED
