C:29127164
c:23197444
1:21336782
(:12250042
):12250042
2:8651393
n:7919478
[C@H]:3913771
[C@@H]:3848095
N:2823572
C(=O)N:1724897
O:1664101
CN:1565058
=:1403550
C(=O):1283392
[:1150979
]:1150979
CO:1100653
3:1064878
CCN:968343
o:899975
NC(=O):819493
H:703571
O=C:694022
/:673173
F:638105
C=C:599802
C(=O)O:573122
CCCC:550070
OC:532933
COC:527283
s:513402
CCO:503126
CNC:491642
CC(C):477315
NCC:462111
C1CC1:453734
@:434133
CCOC:423069
CNC(=O):393422
Cl:383471
[C@@]:354246
[C@H](C):336217
CS:326715
CCCN:324027
COC(=O):313254
C(C)C:312310
C#N:293004
c2ccccc2:276738
-:269746
[C@@H](C):264315
CC(C)C:252749
CN(C):212925
\:210406
CC[C@H](C):205940
C[C@H](O):204748
C(=O)OC:202153
C[C@@H](O):200369
C#C:190988
c1ccccc1:188615
#:186556
CC[C@@H](C):175497
C(=O)N(C):170386
C(C)(C)C:165792
CC(C)(C):160071
CCNC(=O):157461
S:157131
CCOC(=O):149978
CCCCC:143621
CCCO:140510
N(C)C:136962
O=C(O):136352
N#C:134677
CCOCC:126249
C(N)=O:124295
[N+](=O)[O-]:123200
C1CCC1:121551
CN(C)C:119974
CSC:119085
CC(=O)O:115716
Cc1ccccc1:103015
C[C@H](N):99144
C(F)(F)F:98024
CCSC:91596
CNC(=O)N:90317
CC(=O)NC:90064
C(F)F:89693
CC1CC1:88978
SC:88331
C(=O)/C=C:87059
CCC(=O)N:86755
C=CCC:85557
[C@H](C)N:83811
N(C)C(=O):82977
C1CCCC1:82737
[C@@H](C)N:81610
CC(C)(C)C:79568
N(C):78855
OC(=O):77833
CCN(C)C:77531
C(=O)N(C)C:77413
CC#N:75389
C[C@@H](N):74499
C[C@@H](C)O:73182
CCCNC(=O):71704
N=C:69795
NCCC:68685
c1cccnc1:65393
CC(=O)OC:62764
CN(C)C(=O):62445
CCCCO:62079
C[C@H](C)O:55741
C(=O)N[C@H](C):55668
C1CCCCC1:55213
C(=O)N[C@@H](C):55085
CC(C)N:54082
C(C)=O:53982
c1ccco1:53944
NCCO:53457
[C@@H]1CCC[C@H]1:53444
CC(O):52917
CCCCN:52797
[C@@H]1C[C@H]1:52531
NC(=O)NC:52528
CC(C)(C)O:52167
