Cc1cc(-c2csc(N=C(N)N)n2)cn1C
CCOC(=O)c1cc2cc(C(=O)O)ccc2[nH]1
CC(C)=CCC/C(C)=C/C=C/C(=O)N1CCCC1
c1ccc2cc(CC3=NCCN3)ccc2c1
NC(=O)c1ccccc1-n1cnc2ccccc21
CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2
COC(=O)[C@H]1C[C@H](O)CCN1
C=C(C)N1Cc2cccc3[nH]c(=O)n(c23)C(C)C1
Cc1nonc1-c1nc(S)n[nH]1
CC(C#CCN1CCCC1)N(C)S(C)(=O)=O
COc1noc2c1CN(C)CC2.Cl
CCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O
Cl/C=C/CCl
CCOC(=O)C(O)(c1ccc[nH]1)C(F)(F)F
CC1=NOC(=O)/C1=C\c1cccs1
CCN(CC)Cc1c[nH]c(C)c(O)c1=O
O=C(O)[C@H]1C[C@@H](O)CCN1
COc1cnc(-c2ccc(O)c(O)c2)o1
CC(=O)/C=C(\O)c1cccnc1
CC(C)P(=O)(O)C1=CCC(N)C1
O=C(O)/C(O)=C/C(=O)c1ccnc2ccccc12
O=C(O)CNC(=O)Sc1ccccn1
C=C1C(=O)O[C@H]2/C=C(\C)CC/C=C(\C)C[C@H](O)[C@@H]12
O=C(O)c1n[nH]c2c1OCC2
COc1ccc2c(O)cc(OC)c(O)c2c1O
CCCC[C@H](CC)NC(=O)[C@H](N)CC(=O)O
C1=CC(CCNc2ncnc3[nH]cnc23)CCC1
CC/C=C/C=C/C=C/C=C/C=O
O=c1ccc2nccc3c4c(O)cccc4n1c23
COc1ccc(S(=O)(=O)n2cccc2)cc1
CN(C)C(=O)n1nnc(CCc2ccccc2)n1
Nc1ccc2nc(-c3ccc(F)cc3)oc2c1
N[C@@H](CC(=O)O)C(=O)N1CCCC1
CCOc1cc2c(cn1)[nH]c1ccccc12
O=C(c1ccccc1)c1nccc2ccccc12
CCNc1ccc(NC(=N)N)cc1
CC(C)(C)C(N)C(=O)N1CCCC1C#N
O=C(CO)N(CCO)CCO
O=S(=O)(O)NS(=O)(=O)O
Cc1ccc(NC(=O)Nc2ccccc2)c(C)c1
CN(C)C(=O)c1nc2ccc(Cl)cc2n1C
CC1=CC=C(C=O)C(c2ccc(N(C)C)cc2)C1
NC(=S)N/N=C/CC(=O)c1ccccc1
C#CC(C)(O)CC
CC(C)=C1C=C(CN2CCCC2=O)C(=O)O1
N#Cc1c(O)nc(N)nc1-c1cccc(Cl)c1
Cn1c(=O)c2[nH]c3cccnc3c2n(C)c1=O
C=C(C)[C@@H]1[C@H](O)C=C(C)[C@@H]2CC[C@H](C)C[C@H]21
Oc1ccccc1-c1cc[nH]n1
c1cc(-c2nnn[nH]2)c2[nH]ncc2c1
Nc1nc2ccccc2n1CCc1ccccc1
Fc1cccc(-c2nnn[nH]2)c1
Cc1ccc(O)c2c1C(=O)CC2
O=C(O)c1ccc(-c2ccccn2)nc1
Cc1c(O)ccc2c3c(c(=O)oc12)CCCC3
[O-][S+]1c2ccccc2SN1C1CC1
CCCCC[C@@H](C=O)NC(=O)OC(C)(C)C
COc1cccc2c1CC[C@@H](N(C)C)[C@H]2C
CC(=N)Nc1ccc(F)cc1.Cl
CC(=O)c1cc2ccccc2s1
COc1ccccc1NC1=NC(N)=NC(C)(C)N1
CC(=O)C1=CCCN(C)C1
Nc1ccc(Nc2ccccc2)cc1
CCCN1Sc2ccccc2[S+]1[O-]
CC(C)(C)C(=O)Cn1c[n+](N)cn1
CCc1ccccc1NCCN1CCCCCC1
CC(=O)NC(C(=O)NCc1ccccc1)C(C)C
CC/N=C(/Cc1cccc(C)c1)NCC.Cl
CCC1c2ccccc2CCN1CC1=NCCN1
CCCCCCC(=O)N[C@H]1CCOC1=O
CC1CCN(Cc2ccccc2)CC1
CCC(C)C(=O)c1c[nH]c(OC)c(OC)c1=O
COC1CC[C@@H]([C@H](C)O)OO1
C#CC1c2cc(O)c(OC)cc2CCN1C
COc1ccccc1OCC(O)CNC(C)C
C(#Cc1ccccc1)CCN1CCCCC1
COCc1c(O)c(=O)cc(C)n1C
CCC(CC)Nc1ccc(O)c2ccccc12
CNc1nc(C#N)nc(N(C)C)c1N
O=C(Nc1ccccc1)c1cnn2ccccc12
CC(=O)CSc1cnnn1-c1ccccc1
CCc1ccc(N(O)C(C)=O)cc1
CC(=C\c1ccccc1)/C(C)=N/O
O=C(O)Cc1cccn(C(F)F)c1=O
Cc1ncccc1OC(C)C1=NCCN1
N#Cc1cc(F)cc(C(=O)Nc2ccccn2)c1
C[C@H]1CC[C@H]2[C@@H](C=C[C@@H]3COC(=O)[C@@]32C)C1
Nc1nccc(-c2cnc3ccccc3c2)n1
