,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
34,34,0.9662927985191345,2022-12-28 11:27:32.567600,2022-12-28 11:28:30.925625,0 days 00:00:58.358025,tanh,0.0,6,0.85,0.9662927985191345,,,PRUNED
35,35,0.9859194755554199,2022-12-28 11:27:40.851125,2022-12-28 11:31:36.853516,0 days 00:03:56.002391,relu,0.25,2,0.7,0.9859670400619507,,,COMPLETE
36,36,0.972484290599823,2022-12-28 11:28:11.315803,2022-12-28 11:29:11.947303,0 days 00:01:00.631500,tanh,0.0,6,0.85,0.972484290599823,,,PRUNED
37,37,0.9859485626220703,2022-12-28 11:28:12.412800,2022-12-28 11:30:01.910706,0 days 00:01:49.497906,relu,0.35000000000000003,3,0.65,0.9859485626220703,,,PRUNED
38,38,0.9842497706413269,2022-12-28 11:28:13.020351,2022-12-28 11:30:08.915071,0 days 00:01:55.894720,relu,0.35000000000000003,8,0.75,0.9842497706413269,,,PRUNED
39,39,0.9833781123161316,2022-12-28 11:28:23.316713,2022-12-28 11:30:23.075276,0 days 00:01:59.758563,tanh,0.45,8,0.95,0.9833781123161316,,,PRUNED
40,40,0.9839362502098083,2022-12-28 11:28:26.680769,2022-12-28 11:30:18.383671,0 days 00:01:51.702902,tanh,0.0,2,0.9,0.9839362502098083,,,PRUNED
41,41,0.9798290729522705,2022-12-28 11:28:28.209157,2022-12-28 11:32:10.004642,0 days 00:03:41.795485,sigmoid,0.25,5,0.7,0.9861800670623779,,,COMPLETE
42,42,0.965220034122467,2022-12-28 11:28:29.332176,2022-12-28 11:29:32.720176,0 days 00:01:03.388000,relu,0.30000000000000004,5,0.6,0.965220034122467,,,PRUNED
43,43,0.9615224003791809,2022-12-28 11:28:31.332995,2022-12-28 11:29:35.837010,0 days 00:01:04.504015,relu,0.30000000000000004,7,0.6,0.9615224003791809,,,PRUNED
44,44,0.978346049785614,2022-12-28 11:28:51.840627,2022-12-28 11:32:32.954494,0 days 00:03:41.113867,sigmoid,0.15000000000000002,6,0.7,0.9873899817466736,,,COMPLETE
45,45,0.9425746202468872,2022-12-28 11:29:10.391887,2022-12-28 11:30:14.255922,0 days 00:01:03.864035,relu,0.30000000000000004,7,0.6,0.9425746202468872,,,PRUNED
