objective,property,target,decoded_smiles,validity_percent,diversity_percent,sources
UNI-OBJECTIVE,LOGP,1.0,50000,99.976,71.22,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,LOGP,2.0,50000,99.98,88.416,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,LOGP,3.0,50000,99.992,94.386,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,LOGP,4.0,50000,99.982,95.78,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,TPSA,20.0,50000,99.98599999999999,49.904,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,TPSA,40.0,50000,99.978,85.852,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,TPSA,60.0,50000,99.99,95.244,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
UNI-OBJECTIVE,TPSA,80.0,50000,99.984,97.422,UNI-OBJECTIVE-R1;UNI-OBJECTIVE-R2;UNI-OBJECTIVE-R3;UNI-OBJECTIVE-R4;UNI-OBJECTIVE-R5
